timestamp,open,high,low,close,volume
2022-02-10,135.4700,136.5600,133.1700,133.5200,5978640
2022-02-09,137.8400,138.3500,136.8300,137.7900,5393478
2022-02-08,137.2300,137.5200,135.7800,137.0200,4181825
2022-02-07,137.4500,137.8223,136.2700,137.2400,3759046
2022-02-04,137.8600,138.8200,136.2150,137.1500,4142045
2022-02-03,137.0000,138.7600,135.8310,137.7800,6100777
2022-02-02,135.7000,137.5550,135.2600,137.2500,5357237
2022-02-01,133.7600,135.9600,132.5000,135.5300,6206448
2022-01-31,134.0900,134.0900,132.3000,133.5700,5859043
2022-01-28,133.1900,134.5300,131.7900,134.5000,5471497
2022-01-27,133.6600,134.7500,132.0800,132.5200,5499566
2022-01-26,136.4700,137.0700,133.1300,134.2600,8335992
2022-01-25,129.1400,137.3361,128.3000,136.1000,19715698
2022-01-24,127.9900,129.1500,124.1930,128.8200,13777648
2022-01-21,131.6500,131.8700,129.2700,129.3500,5906950
2022-01-20,131.2600,132.8800,130.5705,130.8200,5278244
2022-01-19,132.9000,133.9000,131.5000,131.5800,4099035
2022-01-18,132.9500,133.8900,131.7800,132.9400,5236258
2022-01-14,134.5500,135.1400,133.3000,134.2100,5310305
2022-01-13,133.9000,136.0500,133.5600,134.7600,4868349
2022-01-12,133.2500,134.4700,131.3700,133.5900,5352014
2022-01-11,130.5200,133.2500,127.9700,132.8700,11081210
2022-01-10,134.4700,136.2000,133.3800,135.0300,5432807
2022-01-07,134.9000,135.6618,133.5111,134.8300,5238099
2022-01-06,138.2000,138.4099,132.5100,135.3400,9908081
2022-01-05,138.3100,142.2000,137.8800,138.2200,8956910
2022-01-04,136.1000,139.9500,135.9000,138.0200,7300011
2022-01-03,134.0700,136.2950,133.6300,136.0400,4610665
2021-12-31,134.0000,134.9900,133.6100,133.6600,3315313
2021-12-30,133.7500,134.3700,133.3300,133.9100,3158111
2021-12-29,132.4000,134.2100,132.3000,133.3500,4239935
2021-12-28,131.6000,133.2200,131.5900,132.6300,3447079
2021-12-27,130.6300,131.6500,129.9500,131.6200,4294499
2021-12-23,130.0000,130.9600,129.5200,130.6300,3649044
2021-12-22,129.0600,129.7900,127.6000,129.7500,3923198
2021-12-21,127.6600,129.3356,127.6600,128.9700,4855972
2021-12-20,125.7200,127.2000,124.7000,127.0600,4941411
2021-12-17,125.8700,128.6400,125.2093,127.4000,10382693
2021-12-16,123.5100,126.6399,123.4750,125.9300,7280537
2021-12-15,123.8000,124.8150,122.1800,123.1100,4990028
2021-12-14,122.3500,125.0300,122.3000,123.7600,5716124
2021-12-13,123.7600,124.3554,120.7900,122.5800,6847468
2021-12-10,124.3000,125.3300,123.3600,124.0900,4966921
2021-12-09,122.1500,123.9500,121.7900,123.5700,4601092
2021-12-08,122.0000,123.3800,121.5200,123.0200,5483948
2021-12-07,120.4750,122.0800,120.0700,121.5800,5193991
2021-12-06,119.4000,121.1500,119.4000,119.9100,4785560
2021-12-03,117.3600,119.3600,117.3600,118.8400,6630139
2021-12-02,117.3700,117.9800,116.5600,116.9000,5267149
2021-12-01,118.2500,118.9300,116.8500,116.9200,5959867
2021-11-30,117.5000,119.2399,116.4500,117.1000,9252701
2021-11-29,118.6200,119.6100,117.5300,118.5000,8949795
2021-11-26,115.0000,116.3350,114.5600,115.8100,3322012
2021-11-24,116.1600,117.2700,116.0800,116.7300,3220802
2021-11-23,116.7900,117.9400,116.0400,116.7900,4914995
2021-11-22,116.0000,118.8100,115.1900,116.4700,6417218
2021-11-19,116.4900,116.5600,115.2700,116.0500,5384548
2021-11-18,118.3600,118.3600,116.3100,116.6600,5047879
2021-11-17,118.3800,119.3300,117.7800,118.0600,4043289
2021-11-16,118.9200,119.9000,118.4200,118.4600,4750760
2021-11-15,119.5400,120.1600,118.3100,118.8700,5046321
2021-11-12,120.0000,120.6400,118.7800,118.9600,5376966
2021-11-11,120.9000,121.7894,120.0800,120.2700,4643257
